year,min_wage,cpi
1989,600,35.441
1990,690,38.48
1991,820,42.071
1992,925,44.685
1993,1005,46.831
1994,1085,49.765
1995,1170,51.995
1996,1275,54.555
1997,1400,56.977
1998,1485,61.258
1999,1525,61.756
2000,1600,63.151
2001,1865,65.719
2002,2100,67.534
2003,2275,69.908
2004,2510,72.418
2005,2840,74.413
2006,3100,76.081
2007,3480,78.01
2008,3770,81.656
2009,4000,83.906
2010,4110,86.373
2011,4320,89.85
2012,4580,91.815
2013,4860,93.01
2014,5210,94.196
2015,5580,94.86
2016,6030,95.78
2017,6470,97.64
2018,7530,99.09
2019,8350,99.47
2020,8590,100
2021,8720,102.5
2022,9160,107.72
2023,9620,111.59
