SQ1,SQ2,SQ2_1_1,SQ2_1_2,SQ3,SQ3_1,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A2_1,A2_2,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A4_1,A4_2,A5,A6,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C1,C2,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4_1,E4_2_1,E4_2_2,E4_3,E4_4,E5,E5_1,E5_2,E6,E7,E8,E9,E10,E11,E12,E13_1,E13_2,E14_1,E14_2,E15_1,E15_2,E16_1,E16_2,DQ1_1,DQ1_2,D2_1,D2_2,DQ2_1,DQ2_2,DQ3_1,DQ3_2,DQ4_1,DQ4_2,DQ5_1
1,1,1,4,27,2,4,4,2,5,3,5,3,4,2,4,3,3,5,5,5,4,5,5,8,9,5,5,4,5,3,5,2,3,3,4,2,3,4,2,5,4,6,3,4,4,4,3,3,3,1,2,1,1,1,5,5,5,2,1,4,4,2,999,999,999,999,999,4,999,999,4,4,2,5,4,2,1,999,999,999,999,999,6,999,4,4,1,999,999,4,1,4,1,15,7,3
1,1,2,1,37,1,4,4,3,2,3,4,4,2,1,4,3,5,2,3,3,3,2,3,3,1,4,5,2,2,3,2,2,2,4,7,3,5,5,2,3,2,3,2,4,5,5,2,4,4,3,1,2,1,6,3,5,4,1,2,3,3,1,2,999,999,4,4,1,1,5,3,12,2,3,4,2,1,999,999,999,999,999,5,999,1,6,1,6,5,4,1,4,1,1,1,4
1,1,1,3,39,1,4,4,4,4,3,2,5,4,999,5,4,5,5,5,4,5,5,4,7,999,5,4,4,3,3,4,3,3,3,4,999,5,5,4,4,4,3,3,4,4,6,5,4,3,3,3,2,2,6,4,5,3,3,3,3,4,5,999,999,999,999,999,4,999,999,2,2,4,999,999,1,1,999,999,999,999,999,8,999,3,6,1,999,999,6,1,7,1,1,1,3
2,1,3,5,34,2,4,4,4,4,4,5,4,6,2,4,4,3,4,4,4,4,4,4,8,1,4,4,4,4,4,4,4,5,4,6,2,4,4,4,3,4,3,3,3,3,1,1,1,2,2,2,2,2,2,4,4,3,2,5,2,5,5,999,999,999,999,999,4,999,999,11,11,4,999,999,3,3,999,999,999,999,999,1,999,1,4,1,999,999,3,1,3,1,11,1,3
2,1,2,2,29,1,5,5,4,4,3,5,3,2,6,3,4,3,5,5,5,3,5,5,5,4,4,4,4,4,3,4,2,4,3,4,1,3,2,3,3,2,2,2,4,4,6,5,5,2,4,2,2,1,6,5,5,5,2,1,1,1,1,1,1,999,3,6,4,999,999,3,12,1,2,2,2,1,12,999,1,999,16,999,1,999,6,1,999,999,7,1,6,1,12,1,4
1,1,3,2,30,2,3,5,3,4,3,3,2,2,6,4,4,2,3,3,4,3,4,4,2,1,4,4,3,4,2,4,2,3,3,2,6,2,5,4,4,3,2,3,4,4,8,7,7,3,4,2,3,2,8,4,4,3,3,3,1,1,1,1,1,999,3,8,4,999,999,3,12,1,2,2,2,1,8,999,4,999,14,999,7,999,6,1,999,999,6,1,5,1,1,1,4
2,1,3,4,36,1,5,5,5,5,4,5,3,3,1,5,5,5,5,5,5,4,5,4,1,4,5,5,5,5,5,5,4,5,5,1,3,5,3,5,5,4,5,4,4,4,3,2,3,2,3,2,3,4,6,4,4,4,2,2,1,1,1,1,1,999,1,5,4,999,999,7,12,1,3,4,3,4,8,999,1,999,8,999,1,999,4,1,999,999,3,1,3,1,1,1,2
1,1,2,2,39,2,5,5,4,4,4,4,4,2,1,4,4,4,4,4,4,4,5,5,8,9,4,2,4,4,4,4,3,4,4,2,6,4,1,4,4,3,3,3,3,3,6,3,4,4,3,3,4,4,9,5,5,4,3,3,4,3,1,2,999,999,5,5,1,1,3,5,5,1,2,2,2,2,9,999,8,999,9,999,1,999,6,1,5,1,4,1,4,1,1,11,3
1,1,1,4,36,1,2,2,2,2,2,2,2,2,999,3,2,1,4,3,4,5,3,3,7,999,5,5,4,4,2,2,2,4,2,2,999,1,4,1,3,4,4,2,5,5,5,7,6,1,4,3,5,5,6,3,4,3,3,1,4,4,1,1,1,999,1,6,4,999,999,10,12,4,999,999,1,1,999,999,999,999,999,19,999,1,6,1,999,999,7,1,6,1,1,1,5
2,1,2,3,27,2,5,5,5,5,5,5,5,1,4,5,5,5,5,2,3,4,5,5,2,6,5,5,5,4,3,4,3,3,3,1,5,3,3,3,6,1,6,1,2,1,5,5,5,1,1,2,3,3,3,3,3,3,1,1,5,4,1,1,1,999,5,4,4,999,999,1,1,3,999,999,2,1,999,4,999,1,19,999,1,999,6,1,999,999,6,1,6,1,1,1,2
1,1,2,3,29,2,5,5,4,3,4,5,4,2,6,4,3,3,5,4,4,3,5,2,9,2,4,4,4,5,5,3,4,4,4,2,5,3,5,5,2,3,3,4,5,5,5,3,5,3,2,1,3,2,6,5,5,5,3,4,1,1,2,999,999,999,999,999,4,999,999,11,3,1,3,2,2,1,5,999,3,999,4,999,3,999,6,1,999,999,3,1,4,1,13,1,3
2,1,3,5,29,1,4,4,4,4,4,4,4,2,1,5,5,4,5,4,4,4,5,5,8,1,5,5,4,5,4,4,4,5,5,2,1,5,5,5,4,3,4,4,5,5,7,5,4,2,2,1,1,1,3,5,5,5,1,1,2,2,1,2,999,999,4,2,1,1,3,3,12,1,3,2,2,1,7,999,5,999,17,999,1,999,6,1,6,1,6,1,6,1,8,1,3
1,1,3,3,25,2,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,5,4,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,5,5,5,3,3,4,4,4,7,3,3,3,2,2,5,3,1,1,1,999,3,5,1,1,3,3,3,1,2,1,2,1,5,999,3,999,5,999,3,999,4,1,6,1,3,1,3,1,1,1,3
1,1,1,2,26,1,5,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,2,3,4,4,4,3,3,4,4,6,4,1,2,1,4,2,5,2,1,1,3,3,3,2,2,2,2,2,7,2,2,2,1,1,3,4,2,999,999,999,999,999,2,2,999,4,5,4,999,999,7,3,999,999,999,999,999,4,999,7,7,5,999,999,7,3,3,1,4,4,2
2,1,3,4,21,1,5,5,5,4,4,5,5,3,1,4,3,4,5,5,5,5,5,5,7,6,4,4,5,5,5,5,4,4,4,3,1,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,6,5,5,3,5,2,4,4,2,999,999,999,999,999,4,999,999,8,11,4,999,999,1,1,999,999,999,999,999,7,999,3,5,1,999,999,5,1,4,1,1,1,3
1,1,1,3,26,1,5,5,5,5,3,5,5,1,4,5,4,3,5,5,5,5,5,5,1,5,5,5,5,5,4,5,3,4,3,1,4,3,5,4,5,4,3,2,5,5,3,4,4,1,3,2,2,1,3,5,5,5,1,2,4,4,1,1,2,3,8,3,4,999,999,7,7,4,999,999,8,1,999,999,999,999,999,3,999,3,4,1,999,999,3,1,4,1,1,1,2
1,1,2,3,29,2,5,5,5,5,5,5,5,1,4,4,4,4,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,1,4,4,3,4,5,5,5,5,5,5,4,3,3,2,3,3,2,2,5,5,5,5,2,2,5,4,2,999,999,999,999,999,4,999,999,4,4,4,999,999,4,2,999,999,999,999,999,4,999,9,4,1,999,999,4,1,4,1,1,1,3
1,1,1,4,39,1,5,5,5,5,5,5,5,1,2,4,4,3,3,3,4,3,5,5,9,8,4,5,4,4,4,4,4,4,4,7,6,2,4,3,3,3,4,2,2,4,2,1,2,2,2,4,4,3,1,5,5,5,2,3,1,1,2,999,999,999,999,999,4,999,999,6,9,2,3,3,1,1,999,999,999,999,999,1,999,1,6,1,999,999,1,999,1,999,13,1,2
2,1,3,5,33,1,5,5,4,5,4,5,4,1,6,4,5,4,4,3,3,3,5,5,9,8,5,4,3,4,3,5,3,5,3,2,6,4,3,4,4,3,3,2,4,4,8,5,8,2,2,2,2,1,5,5,5,5,1,2,1,1,1,1,1,999,2,4,4,999,999,2,12,2,4,4,2,1,999,999,999,999,999,19,999,1,8,1,999,999,4,1,4,1,2,2,2
1,1,1,4,33,2,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,8,999,5,5,5,5,5,5,5,5,5,2,1,3,3,4,6,4,6,4,5,5,3,2,2,1,1,1,1,1,1,5,5,5,1,1,4,4,1,1,1,999,3,7,4,999,999,7,7,3,999,999,3,1,999,17,999,1,17,999,1,999,6,1,999,999,2,1,3,1,1,1,3
2,1,3,2,34,1,5,5,5,5,5,5,5,6,1,5,4,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,6,2,5,4,5,5,3,5,3,5,5,5,4,5,2,2,2,2,1,6,5,5,5,2,2,3,4,1,1,1,999,3,6,4,999,999,10,12,3,999,999,2,1,999,6,999,1,12,999,1,999,6,1,999,999,6,1,4,1,1,1,2
